Freq, Name
107, aaron
1, aarush
1, aaryn
1, abd
1, abd-sallam
1, abdel-malik
1, abdon
1, abdu
3, abdul
1, abdul-rahman
5, abdullah
1, abdulrahman
1, abdulsalam
1, abdurrahim
2, abe
1, abel
1, abhideep
1, abhijot
1, abhishaik
1, able
4, abraham
2, abram
1, abshar
2, ace
128, adam
1, adarsh
4, addison
1, adeel
1, adeem
2, aden
1, adi
1, adian
1, adil
1, adison
1, adithya
1, aditya
1, adnan
1, adolphus
1, adonis
1, adriaan
25, adrian
3, adriel
2, adrien
1, adynn
1, aeden
1, ahamed
4, ahmad
9, ahmed
1, ahson
36, aidan
8, aiden
1, aiman
1, ajap
4, ajay
1, ajayveer
1, ajeej
1, ajvinder
1, akaash
1, akaiyan
3, akash
1, akashdeep
1, akhil
1, akiff
1, akira
1, akren
1, aksel
2, akshay
1, al-hasan
1, alaa
1, alaaddine
4, alain
1, alak
8, alan
1, alastair
1, albanie
10, albert
1, alberto
1, aldius
1, aldwin
7, alec
1, aleem
3, alejandro
1, aleksis
1, alekxzander
1, alekzander
4, alessandro
41, alex
212, alexander
10, alexandre
1, alexi
5, alexis
1, alexnader
2, alfred
15, ali
1, alijha
3, alistair
1, alix
1, alixander
20, allan
9, allen
1, alois
1, alphonso
1, alstair
1, altan
1, altay
1, alton
10, alvin
1, alvis
1, alykhan
1, amad
1, aman
1, amanpreet
2, amar
1, amarveer
2, ameet
1, amellio
1, amer
1, amir-hesam
1, amiraj
1, amit
1, amman
1, amon
2, amos
1, amrinder
1, amrit
1, amritpal
1, anand
1, anas
1, anders
1, anderson
11, andre
4, andreas
4, andres
185, andrew
1, andrian
1, andriy
1, andro
1, anduele
20, andy
1, andzie
1, anfernee
1, angel
1, angello
2, angelo
6, angus
2, anh
1, anh-bang
2, anil
1, aniq
3, anish
1, ankit
1, ankur
2, anmole
1, anne
1, anoop
1, anson
1, ante
1, anthonie
97, anthony
1, anthony-joseph
2, antoine
1, anton
5, antonio
2, antony
1, anuj
1, anuraj
1, anuvir
1, anveer
1, appollo
1, aqeel
1, aqil
3, archie
2, arden
1, ardene
1, arec
1, arek
1, arham
1, ari
2, aric
1, arie
1, ariel
1, aris
1, aristotle
2, arjun
2, arlen
1, arley
1, arlo
1, arman
1, armando
1, armon
1, arnaldo
1, arne
2, arnie
6, arnold
4, aron
1, arran
2, arron
2, arsh
1, arshad
2, arshdeep
1, arshmin
5, arthur
1, artun
1, artur
1, arun
1, arwyn
1, aryton
1, asam
3, ashley
1, ashmeet
1, ashneel
1, ashpal
2, ashraf
16, ashton
1, ashtyn
1, ashwin
1, aston
1, athan
2, atif
1, atish
1, atticus
1, attila
1, aubjit
3, aubrey
2, august
1, augustin
1, augustine
1, augustus
1, austan
5, austen
278, austin
1, austin-jordan
3, auston
6, austyn
1, autef
1, aveneil
14, avery
1, avian
1, avinesh
1, avinil
1, avnash
2, axel
1, axl
1, ayanleh
1, ayaz
1, aydean
2, ayden
1, ayodele
1, ayrton
1, ayumu
1, ayuz
1, azan
1, azeem
1, aziz
1, baasil
37, baby
1, badar
1, badereddin
1, bahram
2, bailee
9, bailey
1, baldeep
1, balkaran
1, baltaj
1, bannie
1, bao
1, barakat
1, barinder
1, barinderjeet
1, bariso
1, barret
2, barrett
2, barry
1, bart
1, basem
1, bassel
1, baudoin
1, bauer
1, bayan
1, baylee
4, beau
1, beaudan
1, beerinder
2, belal
10, ben
1, benedek
2, benedict
1, benette
1, benhard
1, benito
1, benjamen
126, benjamin
1, benjemin
1, benjiman
4, bennett
3, benny
3, benoit
4, benson
1, bentley
1, berge
2, bernard
3, bernhard
1, bernie
1, bert
4, bilal
1, bill
1, billal
8, billy
1, bishop
2, blade
1, blain
18, blaine
13, blair
1, blais
1, blaise
1, blaize
40, blake
1, blandon
2, blayne
4, blaze
1, blue
2, bobby
1, bobby-joe
1, boden
2, bodie
2, boe
1, bohdan
2, boris
1, bosco
1, boston
2, bowen
1, boyce
2, boyd
6, brad
2, bradan
60, braden
1, bradey
1, bradford
1, bradi
1, bradin
2, bradlee
91, bradley
5, bradly
3, bradon
55, brady
2, bradyn
5, braedan
31, braeden
1, braedin
8, braedon
3, braedyn
1, braeson
1, braidan
7, braiden
6, braidon
1, braidyn
1, brainard
1, braiyten
1, bram
3, brandan
1, branddon
19, branden
3, brandin
371, brandon
2, brandt
5, brandyn
2, brannon
1, branson
5, brant
1, brantly
1, branton
1, braven
3, braxton
1, bray
59, brayden
10, braydon
1, brayton
1, breckke
62, brendan
17, brenden
1, brendin
18, brendon
27, brennan
6, brennen
1, brenner
3, brennon
25, brent
4, brenton
8, bret
1, breton
143, brett
1, brettan
4, bretton
42, brian
1, brian-james
1, briar
3, brice
2, bridger
1, briean
1, brieten
2, brighton
1, brin
1, britt
2, britton
19, brock
1, brockston
1, brodan
3, broden
1, brodey
14, brodie
2, brodrick
25, brody
1, brogan
1, brogen
1, broghan
1, brok
1, brolan
1, bronson
1, brook
1, brooker
1, brooklyn
2, brooks
1, browdy
4, bruce
1, bruno
26, bryan
1, bryant
1, bryar
53, bryce
2, brydon
1, bryer
3, bryn
1, bryndan
1, bryne
1, bryon
11, bryson
1, bryten
10, bryton
1, bud
2, buddy
1, burke
1, burton
1, buta
10, byron
1, cache
3, cade
3, caden
2, caelan
1, caellum
1, caetano
2, caiden
1, caige
1, cain
1, cainan
1, cajun
1, calder
2, cale
43, caleb
1, calen
1, call
1, callahan
1, callen
7, callum
4, calum
30, calvin
1, calvyn
1, cameran
67, cameron
1, campbell
1, camren
2, camron
1, cardell
2, carey
8, carl
1, carl-dennis
1, carlen
2, carlin
1, carlo
7, carlos
4, carlton
1, carlyle
1, carsen
36, carson
1, carston
46, carter
1, carver
1, case
17, casey
2, cashton
1, casper
1, cass
1, cassidy
1, cassius
3, catlin
1, caul
1, cawl
2, cayden
1, caylan
1, cayman
1, ceasar
3, cedric
1, cedrick
1, cenric
2, chace
45, chad
2, chadd
1, chadi
1, chakib
23, chance
1, chancellor
1, chancely
1, chancler
21, chandler
1, change
1, chanjot
1, chanse
1, chant
21, charles
3, charlie
1, charloe
1, charlsen
1, chas
71, chase
3, chasen
1, chaseten
1, chasson
2, chauncey
1, chay
1, chayann
2, chayse
1, chayton
2, chaz
2, chen
1, chentez
1, cheong
1, chet
1, chett
1, cheviez
2, cheyenne
1, chi
1, chilleung
1, chillton
1, chin-yeung
1, chivez
1, chontay
2, chris
1, christ
1, christan
1, christen
1, christensen
65, christian
1, christien
1, christifer
1, christofer
231, christopher
1, chyles
1, ciaran
2, cj
1, cjay
2, clarence
7, clark
3, clarke
1, claude
2, claudio
16, clay
40, clayton
1, cleo
3, clifford
3, clifton
4, clint
16, clinton
1, clive
2, clyde
3, coby
2, codey
1, codi
3, codie
206, cody
1, cody-lee
1, cohan
3, cohen
2, colan
1, colborne
27, colby
147, cole
1, colebee
5, coleman
1, coleson
5, coleton
53, colin
1, colin-james
12, collin
1, colman
4, colt
1, coltan
17, colten
3, colter
3, coltin
91, colton
3, coltyn
1, conan
1, conar
1, conely
1, connal
22, conner
129, connor
13, conor
7, conrad
1, conroy
6, cooper
18, corbin
1, corby
1, cord
1, cordeil
5, cordell
1, cordelle
24, corey
1, corin
1, cormac
1, cornel
1, cornelis
3, cornelius
1, corny
1, corson
1, cort
1, cortland
1, corwin
24, cory
1, cote
1, coulten
2, coulton
1, courtland
1, courtlind
1, courtney
1, cowan
2, coy
23, craig
1, crawford
1, creedon
1, crishneil
3, cristian
1, cruz
1, cuba
1, cullan
7, cullen
1, curren
50, curtis
1, curtis-ray
1, cuyler
1, cyles
1, cylus
1, cyprian
1, cyril
4, cyrus
1, cyruss
1, d'andre
1, d'artangan
1, daegan
1, daelin
1, daemon
1, dagan
1, daichi
1, daign
2, daimon
1, daine
4, dakoda
60, dakota
1, dakotah
11, dale
2, dalen
2, dalin
2, daljot
