Freq,Name
1,ashiana
1,aabida
1,aakriti
6,aaliyah
1,aamena
1,aarika
1,aariyana
1,aaron
1,aarrianna
1,aarushi
1,aashi
2,abagail
1,abaigael
1,abbe
10,abbey
1,abbi
2,abbie
1,abbieleigh
7,abbigail
2,abbigale
2,abbigayle
20,abby
2,abby-lynn
1,abby-marie
1,abbygail-lila
3,abbygail
1,abbygale
1,abiana
1,abigael
58,abigail
2,abigale
2,abigayle
1,abilene
1,abree
1,abriam
1,abriy
1,abroo
2,abygail
3,acacia
1,acelyn
1,achol
1,adalaide
1,adanna
1,adannaya
2,adara
1,adden
1,addis
4,addison
1,addyson
1,adelaide
2,adele
1,adeline
1,adema
1,adhle
1,adi
1,adia
1,adielleen
1,adoncia
1,adora
3,adria
6,adriana
1,adriane
6,adrianna
2,adrianne
1,adrieana
1,adriel
1,adrien
8,adrienne
1,adryan
1,adryann
1,adyson
1,aedyn
1,aemon
1,aeresnna
1,afroze
1,afton
1,aganetha
1,agat
1,agata
3,agatha
1,agathe-mae
2,ahlam
1,ahlya
1,ahneasha
1,ahsley-rose
1,aicha
7,aidan
1,aiden
1,aileenn
1,ailish
12,aimee
4,aimie
1,aine
1,ainsleigh
6,ainsley
1,ainslie
1,airam
1,airianna
1,airika
1,aisan
6,aisha
2,aishah
1,aishia
1,aishlin
4,aislinn
1,aislyn
1,aislynn
1,aislynne
1,aiya
2,aiyana
1,aizon
1,akash
1,akasha
1,akashdeep
1,akayla
1,akaysha
1,akeema
2,akira
1,akiva
1,akke
1,akosua
1,akzana
1,ala
1,alaa
7,alaina
1,alainna
1,alaira
13,alana
1,alanah
1,alandra
1,alanis
8,alanna
4,alannah
1,alaura
7,alayna
1,alaysha
1,alaysia
1,alberta
2,alea
4,aleah
1,aleara
1,alease
1,aleasha
1,aleashea
1,aleeyah
2,aleena
2,aleesha
1,aleeya
2,aleeza
2,aleisha
1,alejandra
3,aleksandra
3,alena
1,alera
3,alesha
3,alessandra
1,alessandria
3,alessia
1,aleta
1,aletha
2,alethea
1,alethia
10,alex
21,alexa
95,alexandra
1,alexandra-rebecca
2,alexandrea
23,alexandria
3,alexi
11,alexia
64,alexis
1,alexsandra
3,alexus
1,alexys
1,alezaundra
1,ali
4,alia
1,aliasha
5,alice
1,aliceah
31,alicia
1,alida
1,alieka
1,aliera
5,alina
3,alisa
12,alisha
1,alishah
1,alishia
1,alisia
13,alison
11,alissa
1,alissa-roni
1,alissar
1,alisyn
4,alivia
3,alix
1,alixandra
1,alixx
4,aliya
6,aliyah
1,aliza
1,allannah
1,allayna
1,allecia
1,allegra
1,allena
1,allene
1,alley
1,alleya
1,alli
1,allia
2,allie
31,allison
1,allissa
2,allora
3,ally
1,allycen
1,allysa
1,allysan
6,allyson
4,allyssa
1,allyxjandria
1,alondra
3,alora
1,alphonsine
1,althaea
2,althea
1,alura
1,aluxandra
1,alwxandria
1,alyana
3,alycia
1,alyna
1,alys
1,alysandra
1,alyse
8,alysha
1,alyshah
2,alyshia
2,alysia
1,alysia-marie
7,alyson
113,alyssa
1,alyvia
2,alyx
1,alyxandra
1,alzhra
1,amna
1,ama
1,amal
1,amaly
1,amanbir
82,amanda
1,amanda-hubn-huynh
1,amanda-jones
1,amany
2,amar
3,amara
1,amarachi
1,amarae
1,amaranta
1,amaris
1,amarnie
1,amatul
51,amber
2,amber-lynn
1,amber-lynne
1,amber-marie
1,ambriel
1,ameena
1,amel
20,amelia
1,amell
1,amellia
1,amena
1,america
1,amethyst
2,ami
1,amica
1,amie
1,amila
1,amilia
3,amilie
4,amina
2,aminah
4,amira
1,amirah
2,amisha
1,amitdeep
1,amlika
1,amnish
1,amou
1,amrit
1,amrita
92,amy
1,amye
5,ana
1,ana-maria
1,anabella
1,anabelle
1,anah
1,analea
1,analia
1,analiese
1,analise
10,anastasia
1,anastasia-marie
1,anazi
3,andi
26,andrea
1,andreah
1,andrie
1,andrina
1,aneeka
1,aneesha
1,aneisha
1,anfia
17,angel
23,angela
1,angele
1,angelia
11,angelica
1,angelika
1,angelin
13,angelina
2,angeline
1,angelique
1,anica
1,aniela
19,anika
1,anikyne
1,anila
1,anisha
2,anissa
8,anita
2,anjali
1,ankita
1,ankush
1,anmol
1,anmoldeep
4,ann
1,ann-marie
61,anna
1,anna-bella
2,anna-maria
4,anna-marie
1,anna-may
3,annabelle
1,annabeth
1,annalese
3,annalise
7,anne
4,anne-marie
1,anneka
1,anneke
1,anneli
3,anneliese
2,annelise
5,annette
1,annick
19,annie
17,annika
1,annissa
1,anny
1,anok
1,anoop
1,anoushka
1,anshu
1,antoinette
2,antonia
1,anusha
1,anwar
1,anwyn
2,anya
1,aobhin
1,aoife
1,aphrodite
1,apollonia
10,april
1,aqsa
1,ara
1,aradhana
2,araya
1,arba
2,arden
1,areej-e-zehra
2,aria
1,ariadne
8,ariana
4,ariane
12,arianna
1,arianne
11,ariel
4,arielle
1,aries
2,arika
1,arilyn
1,arista
1,aristaea
1,aritee
1,arleen
1,aroob
1,arpanjot
1,artemis
1,artina
1,arupa
1,aryana
1,aryanna
1,arys
5,asha
1,ashely
1,ashita
10,ashlee
1,ashleen
9,ashleigh
144,ashley
1,ashley-morgan
1,ashli
1,ashliegh
3,ashlin
3,ashly
1,ashly-paige
20,ashlyn
7,ashlynn
1,ashlynne
1,ashten
4,ashton
2,ashtyn
1,ashwariya
1,ashyana
4,asia
1,asiyah
2,asma
7,aspen
1,aspyn
1,aspynn
1,asra
1,assia
1,astrid
1,ataiya
2,athena
1,athina
1,atina
1,atlantis
1,atredies
4,aubrey
2,audra
5,audrey
2,augustine
1,aula
1,aundrea
2,aura
2,aurelia
1,auriel
1,aurin
8,aurora
1,austyn
1,autum
1,autume-rain
15,autumn
21,ava
1,ava-marie
1,avalea
2,avalon
1,avenlea
1,averey
2,averi
25,avery
1,avhie
1,avion
1,aviya
1,avjot
2,avneet
1,avrey
1,avriana
1,avrielle
2,avril
1,avrill
1,avy
1,awiet
1,aya
6,ayah
1,ayaka
1,ayana
1,ayanna
2,ayat
1,ayda
1,aydan
3,ayden
1,ayely
2,ayesha
10,ayla
1,aylla
1,ayman
1,ayronn
2,aysha
1,ayvree
1,ayyat
1,azhalay
1,azia
1,azlyn
1,azra
1,azra-sultan
1,bridgit
1,bahiea
6,bailee
2,baileigh
70,bailey
2,bailie
1,bailley
1,baillie
1,baljot
1,balnoor
1,balsie
1,barbie
1,batoul
4,baylee
2,bayley
1,baylie
1,bb
1,beatial
3,beatrice
1,beauty
3,becky
1,bee
1,bela
2,bella
2,belle
1,beretta
1,berleen
2,bernadette
4,bertha
1,bessie
8,beth
1,bethanie
23,bethany
1,bettiel
1,betty
1,bevan
1,beverley
1,beverly
1,beyounch
1,bhaveesha
1,bhavini
1,bhavneet
1,bhreagh
10,bianca
1,biancamaria
1,bienrose
3,billie
2,billy
2,blair
5,blaire
1,blake
1,blanka
1,blaze
1,blondelle
1,bobbi
1,bobbi-jo
1,bobbie
1,bradean
