Freq, Name
1, aahana
1, aahliana
1, aaila
1, aaima
1, aairah
1, aaiza
1, aala
1, aaleyah
1, aaliya
24, aaliyah
1, aalyn
1, aalysia
1, aamana
1, aamira
2, aamna
1, aamya
2, aania
1, aanya
1, aara
2, aaralyn
1, aarna
2, aarya
2, aasha
1, aashi
1, aashmeen
2, aashna
1, aasiyah
1, aasma
1, aatikah
1, aatka
1, aayla
1, aazlynn
4, abagail
1, abbagail
1, abbagayle
7, abbey
2, abbie
1, abbie-lyn
1, abbigael
10, abbigail
2, abbigaile
2, abbigale
2, abbigayle
26, abby
1, abbygael
6, abbygail
2, abbygale
1, abeeha
1, abeer
1, abegail
1, abegweit
1, abellalyn
1, abethon
1, abhia
1, abhijot
1, abhijyot
1, abhinoor
1, abi
1, abiageal
1, abidale
3, abigael
149, abigail
1, abigail-lee
1, abigaile
1, abigal
4, abigale
1, abigaya
7, abigayle
2, abiha
1, abiola
1, abir
1, abok
2, abol
1, abrar
1, abrey
1, abrianna
1, abrieal
7, abrielle
1, abril
1, abubakir
2, abuk
1, abuok
4, abygail
1, acacia
1, acacia-mavinga
1, acadia
1, acely
1, acelyn
3, acelynn
1, achok
2, achol
7, ada
1, ada-lynn
1, adaiah
1, adaira
1, adaire
1, adalee
1, adaleigh
1, adali
3, adalia
1, adalina
1, adalya
5, adalyn
2, adalynn
1, adan
2, adara
1, adau
1, adaya
1, addelyn
1, addie
1, addilee
2, addisen
117, addison
11, addisyn
1, addysen
19, addyson
1, addyzyn
1, adeela
2, adeena
8, adelaide
5, adele
1, adelena
1, adelia
1, adelina
5, adeline
1, adelle
4, adelyn
3, adelynn
2, aden
1, adi
3, adia
1, adiam
1, adiba
1, adilyn
1, adilynn
5, adina
4, adison
2, adisyn
3, aditi
1, adley
1, adna
1, adok
1, adonia
1, adora-belle
1, adreana
1, adreanna
1, adria
1, adrian
13, adriana
18, adrianna
1, adriel
1, adrielle
1, adrienn
2, adrienne
1, adrina
1, adrionna
3, adut
3, adysen
1, adyson
1, aeon
1, aerie-anna
4, aeris
1, aeva
1, aevyn
1, afomia
1, afrata
1, afsaneh
1, afsha
1, aftyn
1, agam
2, agampreet
1, aganetha
1, agata
3, agatha
3, agel
1, aggie
3, agnes
1, aguol
1, ahava
1, ahlam
1, ahleah-line
1, ahnia
1, ahnika
1, ahrayah
1, ahriella
1, aicha
4, aida
1, aidalene
2, aidan
1, aiden
1, aidyn
12, aikam
1, aikamdeep
3, aikamjot
1, aikampreet
1, aiket
1, aikman
2, aiknoor
1, aiko
5, aila
1, ailani
1, ailee
1, aileigh
2, ailey
2, aili
2, ailyn
2, aimal
6, aimee
2, aimen
1, aimey
1, aimilee
1, aimuedosa
2, ainara
1, ainslea
2, ainslee
1, ainsleigh
24, ainsley
1, ainslie
1, aiobha
1, airabella
1, aireanna
1, airiana
1, airianna
13, aisha
2, aishani
1, aishanna
1, aishlyn-ruth
1, aishmee
1, aishmeen
2, aishwarya
1, aisley
1, aisling
2, aislinn
1, aislyn
1, aislynne
2, aiva
1, aivy
1, aiyah
4, aiyana
1, aiyanna
3, aiza
1, aizah
1, aizlee
2, aja
1, ajalae
1, ajang
1, ajelay
1, ajla
1, ajuni
1, ajwa
1, akaisha
1, akari
1, akasha
1, akayla
3, akeelah
1, akeesha-akasha
2, akeira
1, akelo
1, akeria
1, akeysta
1, aki
1, akianee
1, akiera
1, akili
1, akima
3, akira
2, aknoor
1, ako
1, akosha
1, akshara
1, akshi
1, akuag
1, akuot
1, akur
1, akuur
2, akyra
1, al-meerah
1, ala
1, ala'a
1, alaa
1, alabama
7, alaina
1, alainna
1, alair
1, alairiel
1, alak
11, alana
1, alanah
1, alandace
1, alanha
12, alanna
