Baby Girl Names Registered in 1995,
#,Baby Girl Names
1,Aaishah
1,Aakanksha
1,Aaliyah
3,Aaron
1,Aashima
1,Abagail
1,Abbagayle
8,Abbey
1,Abbie
1,Abbigail
7,Abby
1,Abby-Lynne
1,Abeer
1,Abigael
29,Abigail
1,Abigayle
1,Abilene
1,Abrar
1,Abriana
1,Acacia
1,Acelyn
1,Ada
1,Adaira
2,Adara
1,Adaya
2,Adele
1,Adeline
1,Adhara
1,Adileena
3,Adina
1,Adisa
1,Aditi
1,Adora
1,Adrea
2,Adrian
8,Adriana
1,Adriana-Maria
4,Adrianna
1,Adrianne
10,Adrienne
1,Aeisha
1,Afton
3,Aganetha
1,Agatha
2,Agnes
1,Ahlam
1,Aida
3,Aidan
1,Ailcey
4,Aileen
#,Baby Girl Names
1,Aillen
10,Aimee
1,Aimee-Jeanne
1,Aimee-Lynn
1,Aimie
3,Ainsleigh
4,Ainsley
4,Aisha
1,Aislinn
1,Aislynn
1,Aiyanna
1,Ajak-Angela
1,Ajjia
1,Akari
1,Aki
1,Akita
1,Akuuma
1,Ala
2,Alaa
2,Alaina
1,Alaine
23,Alana
1,Alanah
3,Alandra
1,Alanis
24,Alanna
7,Alannah
1,Alanna-Marie
2,Alara
1,Alastria
1,Alayna
2,Alberta
1,Alden
4,Aleah
1,Aleasha
5,Alecia
2,Aleena
3,Aleesha
1,Aleida
1,Aleigha
1,Aleighsha
3,Aleisha
1,Alejandrina
1,Aleksandra
5,Alena
4,Alesha
3,Alessandra
2,Alessia
1,Alethea
4,Alex
#,Baby Girl Names
21,Alexa
1,Alexana
2,Alexander
156,Alexandra
1,Alexandrea
39,Alexandria
1,Alexendra
9,Alexia
40,Alexis
1,Alexiss
3,Alexus
1,Alexx
1,Aleya
1,Aleysha
1,Alham
2,Ali
7,Alice
32,Alicia
1,Aliecia
1,Alina
1,Alintina
2,Alisa
1,A'Lisa
25,Alisha
1,Alisha-Dale
3,Alishia
19,Alison
10,Alissa
2,Alita
7,Alix
3,Aliya
2,Aliza
1,Allana
3,Allanah
1,Allap
1,Allayna
1,Alleah
1,Allesha
1,Allex
1,Alleycia
1,Alli
3,Allie
3,Allisha
41,Allison
1,Allyesha
1,Allynna
1,Allysa
2,Allysha
1,Allysia
7,Allyson
#,Baby Girl Names
1,Allyssa
1,Allyza
1,Alma
1,Alondra
1,Alora
1,Alorien
1,Alwyn
13,Alycia
1,Alyne
3,Alysa
1,Alysar
13,Alysha
2,Alyshia
2,Alysia
4,Alyson
1,Alyss
131,Alyssa
1,Alyssa-Jena
3,Alyssia
1,Alyx
2,Alyxandra
1,Alyza
1,Amaira
2,Amal
1,Amalia
1,Amalie
2,Aman
149,Amanda
1,Amanda-Jean
1,Amanda-Lynn
1,Amani
2,Amanjot
1,Amanne
2,Amanpreet
2,Amany
3,Amara
1,Amaree
1,Amariah
75,Amber
2,Amberlee
2,Amber-Lee
2,Amberly
1,Amberlyn
1,Amberlynn
2,Amber-Lynn
1,Amber-Rose
