Baby Boy Names Registered in 2000                       A,
GOVERNMENT  SERVICES,
#,Boy  Names 
1,A. 
2,A.J. 
1,Aadam 
1,Aaidan 
1,Aaman 
65,Aaron 
1,Aarron 
1,Aatif 
1,Aazam 
1,Abby 
2,Abdallah 
1,Abderahim 
1,Abdiqani 
1,Abdirahman 
6,Abdul 
6,Abdullah 
2,Abdullahi
2,Abdulrahman 
1,Abdul - Rahman 
1,Abdulsalam 
1,Abdurrehman 
1,Abe 
1,A bel 
1,Abhishek 
1,Abneet 
1,Abner 
2,Abraham 
2,Abram 
1,Achille 
115,Adam 
1,Adan 
1,Adbirahim 
1,Addis 
3,Addison 
1,Adeem 
4,Aden 
1,Adesegun 
2,Adil 
1,Adilard 
2,Adin 
2,Aditya 
1,Adnan 
2,Adonis 
1,Adrean 
1,Adri 
#,Boy  Names 
22,Adrian 
1,Adrielle 
1,Adrien 
2,Adrik 
1,Afil 
1,Agashdeep 
1,Aggar 
1,Ahasan 
7,Ahmad 
14,Ahmed 
1,Ahmet 
1,Ahson - Naseer 
1,Ahtesham 
91,Aidan 
39,Aiden 
1,Aidon 
1,Aimal 
1,Aimanjot 
1,Ainea 
1,AJ 
2,Ajay 
1,Ajee 
1,Akaash 
4,Akash 
1,Akashdeep 
1,Akiel 
1,Akio 
1,Akram 
1,Aksel 
3,Ala a
1,Alaaudeen 
7,Alan 
1,Alaric 
1,Alban 
1,Alberic 
11,Albert 
1,Alberto 
1,Albion 
1,Alder 
1,Aldin 
1,Aldo 
1,Aldrin 
5,Alec 
1,Alejandro 
2,Aleksandar 
#,Boy  Names 
1,Aleksander 
1,Alesandro 
1,Alessandro 
29,Alex 
1,Alexandar 
172,Alexander 
1,Alexander - Jonas 
1,Alexandra 
4,Alexandre 
1,Alexei 
2,Alexis 
2,Alfonso 
1,Alfred 
1,Alger 
27,Ali 
1,Alic 
1,Alijah
2,Alistair 
1,Alixandr
6,Allan 
1,Allan - Dean 
6,Allen 
1,Allen - Joseph 
2,Allister 
1,Allken 
1,Ally 
2,Alphonse 
1,Alvaro 
4,Alvin 
1,Aly 
1,Amadeo 
3,Aman 
2,Amandeep 
1,Amang 
1,Amanual 
1,Amanueal 
2,Amar 
1,Amardeep 
1,Amarjot 
2,Ambrose 
1,Ameena 
1,Ameer 
1,Amin 
4,Amir 
1,Amit 
#,Boy  Names 
1,Ammon 
1,Amnider 
3,Amos 
1,Amran 
1,Amrinder 
3,Amrit 
1,Amsal 
1,An 
3,Anders 
9,Andre 
6,Andreas 
1,Andrei 
1,Andrej 
133,Andrew 
1,Andrh 
3,Andri 
3,Andris 
12,Andy 
1,Andy - Duc 
1,Aneesh 
1,Angad 
2,Angel 
3,Angelo 
2,Angus 
1,Anika 
1,Anikait
1,Ankit
2,Anlon 
2,Anmol 
1,Anojan 
1,Ansel 
1,Anselmo 
5,Anson 
1,Anthany 
1,Anthoney 
77,Anthony 
1,Antoine 
4,Anton 
8,Antonio 
2,Antony 
1,Apraj 
1,Aradhya 
2,Arashdeep 
1,Arda 
1,Arden 
1,Areeb 
1,Arek 
#,Boy  Names 
1,Aria 
1,Arie 
1,Aries 
1,Aristotle 
1,Arizenna 
2,Arjan 
3,Arjun 
1,Arlen 
1,Arlin 
10,Armaan 
1,Arman 
3,Armand 
2,Armann 
1,Armen 
1,Armeyas 
1,Armin 
1,Armond 
2,Arnie 
2,A rnold 
2,Aron 
1,Arpan 
1,Arran 
1,Arrel 
1,Arron 
2,Arsal 
1,Arsam 
1,Arsdeep 
1,Arshdeep 
1,Arshpreet 
8,Arthur 
1,Arya 
1,Aryaan 
2,Aryton 
2,Asad 
1,Aseer 
1,Ashe 
3,Asher 
1,Ashish 
1,Ashley 
1,Ashman 
1,Ashpreet 
1,Ashtin 
31,Ashton 
1,Ashton - James 
2,Ashtyn 
1,Asiniy 
1,Asmir 
#,Boy  Names 
1,Aston 
1,Atlas 
1,Atrayu 
1,Atta- Ul- Noor 
1,Atticus 
1,Aubern 
3,Aubrey 
1,August 
1,Aurel 
2,Austen 
161,Austin 
1,Austin - Jules 
2,Auston 
1,Austyn 
1,Autre - Riche 
1,Averill 
22,Avery 
1,Avikash 
1,Aviraj 
1,Avishek 
2,Avry 
1,Awner 
2,Axel 
1,Axel - Benoit 
1,Axl 
2,Aydan 
19,Ayden 
1,Ay'Den 
1,Aydin 
1,Ayman 
1,Aymon 
1,Ayrton 
1,Ayudo 
1,Azaan 
1,Azam 
1,Babbu 
1,Badal 
1,Baden 
1,Badr 
1,Baheran 
31,Bailey 
1,Baily 
1,Bakr 
1,Balkaran 
2,Balraj 
1,Balrajan 
2,Baltej 
#,Boy  Names 
1,Bann y
1,Banraj 
1,Baraka 
1,Barbara 
1,Barend 
1,Barento 
1,Baris 
1,Barret 
3,Barrett 
1,Barron 
1,Bartosz 
1,Basel 
1,Basem 
1,Bashaarath 
1,Bashirahmed 
1,Basil 
1,Bassem 
1,Bastiaan 
1,Baylee 
1,Baylen 
3,Beau 
1,Beauregard 
1,Beese 
1,Behzad 
3,Belal 
10,Ben 
1,Benedict 
1,Benesi 
3,Benjamen 
193,Benjamin 
2,Benjamine 
1,Benjiman 
7,Bennett 
1,Benny 
1,Bensen 
3,Benton 
1,Berg 
1,Bergen 
1,Bernard 
1,Bernhord 
1,Bernie 
1,Bert 
1,Bevan 
1,Bhagat 
1,Bi- Emente 
1,Bijan 
1,Bikram 
#,Boy  Names 
3,Bilal 
1,Billal 
1,Binyam 
1,Birhad 
1,Bjorn 
2,Bjvrn 
4,Blade 
1,Bladen 
1,Blaide 
1,Blain 
5,Blaine 
10,Blair 
1,Blaire 
3,Blaise 
44,Blake
1,Blayde 
1,Blayke
3,Blayne 
1,Blayre 
1,Blayze 
5,Blaze 
1,Bleart 
1,Bleyd 
1,Boaz 
1,Bob 
4,Bobby 
1,Bodacious 
1,Bodin 
1,Bodine 
1,Bo edergard 
2,Bojan 
1,Booker 
1,Borhan 
1,Boris 
2,Bosco 
1,Boston 
1,Bowen 
2,Boyd 
1,Boyza 
3,Brad 
1,Bradden 
42,Braden 
1,Bradey 
42,Bradley 
4,Bradly 
3,Bradon 
1,Bradson 
#,Boy  Names 
35,Brady 
4,Braedan 
26,Braeden 
7,Braedon 
3,Braedyn 
1,Braeson 
1,Brahmdeep 
8,Braiden 
1,Braidon 
1,Braidy 
1,Braidyn 
1,Brailey 
1,Bram 
2,Brandan 
21,Branden 
1,Brandin 
193,Brandon 
1,Brandon - James 
3,Brandt 
2,Brannon 
1,Branson 
3,Brant 
1,Braunson 
4,Braxton 
1,Braxxton 
1,Braydan 
85,Brayden 
1,Braydie 
2,Braydin 
23,Braydon 
2,Brayson 
2,Breaden 
1,Breccan 
1,Brecken 
1,Brecon 
1,Breeze 
1,Brenan 
76,Brendan 
1,Brendell 
21,Brenden 
1,Brendin 
10,Brendon 
3,Brendyn 
24,Brennan 
2,Brennen 
18,Brent 
6,Bret 
#,Boy  Names 
69,Brett 
1,Bretton 
1,Breyden 
1,Breydon 
26,Brian 
5,Brice 
1,Brigg s
1,Brigham 
1,Brilee 
1,Briley 
1,Brim 
1,Brison 
1,Britain 
1,Broc 
16,Brock 
1,Broden 
1,Brodey 
12,Brodie 
1,Brodie - Michael 
27,Brody 
3,Brogan 
1,Bronc 
2,Bronson 
1,Brooklin 
1,Brooks 
1,Brosnan 
7,Bruce 
1,Bruce - Marko
1,Bruno 
11,Bryan 
1,Bryant 
44,Bryce 
1,Brycne 
7,Bryden 
2,Brydon 
4,Bryn 
1,Brynden 
1,Brynton 
6,Bryson 
1,Bryton 
1,Bunya 
1,Burk 
6,Byron 
1,Cabuijabar 
1,Cache 
11,Cade 
14,Caden 
#,Boy  Names 
1,Cadence 
1,Caedmon 
1,Caehlan 
2,Cael 
5,Caelan 
2,Caelen 
1,Caelin 
2,Caidan 
1,Caiden 
2,Caige 
1,Cailen 
2,Caillou 
1,Cain 
2,Caine 
2,Caius 
1,Calden 
1,Calder 
15,Cale 
71,Caleb 
2,Calem 
4,Calen 
1,Calib 
1,Calin 
1,Calium 
1,Callaghan 
12,Callum 
4,Calum 
13,Calvin 
2,Camden 
1,Camerin 
95,Cameron 
1,Campbell 
1,Camren 
3,Camron 
1,Cannon 
1,C aprice 
1,Cardel 
12,Carl 
1,Carlietto 
9,Carlos 
3,Carsen 
57,Carson 
1,Carsten 
89,Carter 
1,Carter - Douglas 
2,Carver 
9,Casey 
#,Boy  Names 
2,Cash 
1,Cashton 
2,Cassius 
1,Cathan 
5,Cauy 
1,Cavin 
1,Cavy 
8,Cayden 
1,Caydin 
1,Cayl 
1,Cayman 
1,Cayne 
1,Cayto 
2,Cec il
1,Cejay 
2,Cesar 
5,Chace 
18,Chad 
1,Chadd 
1,Chadwin 
1,Chadwyck 
1,Chae 
1,Chain 
1,Chais 
1,Chaise 
1,Chaisson 
24,Chance 
1,Chanceler 
9,Chandler 
1,Chanel 
1,Chanpreet 
1,Chanse 
1,Chanz 
27,Charles 
5,Charlie 
77,Chase 
1,Chason 
1,Chastyn 
1,Ch aten 
1,Chauncey 
1,Chayce 
1,Chayden 
1,Chayse 
3,Chayton 
5,Chaz 
1,Chazden 
4,Chazz 
#,Boy  Names 
1,Chee - Hao 
1,Chepyren 
1,Chesley 
2,Chester 
1,Chevalier 
1,Chevelle 
1,Chevy 
1,Cheyenne 
1,Chi 
1,Chip 
1,Chirsto 
1,Chivas 
1,Chol 
2,Chris 
2,Christiaan 
44,Christ ian
1,Christien 
1,Christophe 
112,Christopher 
1,Chrystopher 
1,Cian 
1,Ciaran 
1,Clarence 
2,Clark 
1,Clarke
2,Claude 
1,Claudy 
7,Clay 
1,Claydin 
1,Claytin 
23,Clayton 
1,Clear 
1,Cleeve 
2,Clement 
1,Cliff 
2,Clifford 
3,Clint
5,Clinton 
1,Clyde 
1,Coady 
1,Cobe 
1,Cobie 
4,Coby 
1,Coden 
1,Codi 
1,Codi - lee 
74,Cody 
#,Boy  Names 
1,Cody - John 
3,Cohen 
2,Colbey 
1,Colbi 
20,Colby 
123,Cole 
1,Colemyn 
1,Cole - Stephan 
5,Coleton 
20,Colin 
7,Collin 
1,Colman 
2,Colson 
2,Colt 
1,Coltan 
9,Colten 
5,Colter 
3,Coltin 
71,Colton 
1,Coltrane 
2,Coltyn 
1,Colyn 
