Baby Girl Names Registered in 2001                       A,
GOVERNMENT  SERVICES,
#,Girl  Names 
1,A
2,Aaisha
1,Aajah
1,Aaliana
2,Aaliya
10,Aaliyah
1,Aalyah
1,Aarona
1,Aaryanna
1,Aashiyana
1,Aashna
1,Aasiya
1,Abaigeal
1,Abang
1,Abbegael
1,Abbegayle
15,Abbey
2,Abbi
3,Abbie
8,Abbigail
1,Abbi-Gail
47,Abby
3,Abbygail
2,Abbygale
1,Abbygayle
1,Abby-Jean
1,Abella
1,Abha
1,Abigael
83,Abigail
1,Abigale
1,Abigayil
4,Abigayle
1,Abir
1,Abrial
1,Abrianna
3,Abrielle
1,Abuk
1,Abygale
3,Acacia
1,Acadiana
1,Acelyn
1,Achwiel
1,Adalien
1,Adana
2,Adanna
2,Adara
1,Adawn-Rae
1,Addesyn
1,Addisan
10,Addison
1,Addison-Grace
1,Addyson
#,Girl  Names 
1,Adelaide
2,Adelle
1,Adelynn
2,Adena
1,Adeoluwa
1,Adia
1,Adiella
5,Adina
1,Adreana
1,Adreanna
7,Adria
2,Adrian
7,Adriana
11,Adrianna
1,Adrianne
1,Adrien
1,Adriene
3,Adrienne
1,Adyan
1,Aedan
1,Aeryn
1,Aeshah
1,Afra
1,Afroz
1,Afsaneh
1,Aganetha
1,Agar
6,Agatha
1,Agel
2,Agnes
1,Aheen
1,Ahein
1,Ahlam
2,Ahna
1,Ahtum
1,Aida
4,Aidan
2,Aideen
6,Aiden
1,Aija
1,Aika
1,Aiko
1,Aileen
1,Aiman
7,Aimee
2,Aimée
1,Aimie
1,Áine
1,Ainsleigh
12,Ainsley
1,Aira
1,Airianna
1,Aisa
#,Girl  Names 
4,Aisha
1,Aisley
1,Aislin
1,Aislinn
2,Aislyn
1,Aislynn
1,Aisyah
1,Ai-Vy
1,Aiyana
1,Aja
1,Ajla
1,Akanksha
1,Akasha
1,Akashroop
1,Akayla
1,Akaysia
1,Akeera
1,Akeima
1,Akira
1,Akoul
1,Akrity
2,Alaa
1,Ala'a
1,Alabama
1,Alabed
5,Alaina
1,Alaine
1,Alaiya
11,Alana
1,Alanah
4,Alanna
2,Alannah
1,Alanta
1,Alasia
1,Alaura
1,Alaya
1,Alayja
5,Alayna
1,Alaysia
1,Alberta
1,Aldricia
2,Alea
7,Aleah
1,Aleasheanne
1,Aleea
1,Aleesha
2,Aleeza
1,Aleighna
1,Aleighsha
1,Aleika
1,Alejandra
1,Alekxandra
1,Alena
#,Girl  Names 
2,Aleshia
1,Alesia
2,Alessandra
3,Alessia
2,Aleta
1,Alethea
3,Alethia
2,Alex
36,Alexa
1,Alexana
1,Alexander
89,Alexandra
4,Alexandrea
21,Alexandria
1,Alexcia
1,Alexi
6,Alexia
67,Alexis
1,Aléxis
2,Alexis-Nicole
2,Alexsandra
6,Alexus
1,Alexxa
1,Alexxandra
1,Alexya
2,Alexys
1,Alexzandra
2,Aleyna
1,Aleysa
1,Aleysha
3,Ali
4,Alia
1,Aliah
1,Aliana
1,Alica
5,Alice
1,Aliceia
25,Alicia
1,Alies
4,Alina
1,Aline
1,Alisca
8,Alisha
13,Alison
7,Alissa
1,Alissandra
1,Alissha
1,Alivia
2,Alix
1,Alixandra
2,Aliya
7,Aliyah
1,Aliyana
1,Alizee
#,Girl  Names 
1,Allana
1,Allanah
2,Alli
1,Allicia
3,Allie
1,Allisa
29,Allison
3,Alliyah
4,Ally
1,Allyese
1,Allyigha
3,Allysa
2,Allysha
1,Allysia
2,Allyson
2,Allyssa
1,Alma
2,Alora
1,Althea
2,Alvina
1,Alyana
1,Alyanna
1,Alyce
3,Alycia
1,Alyia
1,Alyiha
1,Alyk
1,Alyna
4,Alysa
8,Alysha
2,Alyshia
1,Alysia
6,Alyson
129,Alyssa
1,Alyssa-Rae
2,Alysse
4,Alyssia
1,Alyx
1,Alyxx
1,Amal
1,Amalle
85,Amanda
1,Amanda-Lee
2,Amani
1,Amanie
1,Amanni
2,Amanpreet
3,Amara
1,Amarachi
1,Amarah
1,Amaris
1,Amarit
1,Amarjot
1,Amaya
#,Girl  Names 
1,Amaylia
1,Ambar
54,Amber
1,Amberlee
1,Amberley
1,Amberly
1,Amber-Lynn
1,Ameena
1,Ameera
15,Amelia
1,Amelie
1,Amélie
2,Amena
1,Amenah
1,Americus
1,Ameris
1,Amethyst
1,Amgaad
1,Ami
1,Amiah
1,Amica
1,Amiee
1,Amiéé
1,Amie-Jo
1,Amika
1,Amina
1,Amira
1,Amiya
1,Amiyah
1,Amma-Akyaa
1,Amneh
1,Amnit
1,Amorette
1,Amreen
2,Amrit
87,Amy
1,Amy-Jane
1,Amy-Lynne
1,Amyra
5,Ana
2,Anabelle
1,Anaëlle
1,Anahid
1,Anaida
2,Anaïs
1,Anam
1,Anamarie
2,Anamika
1,Anastacia
1,Anastashia
10,Anastasia
1,Andi
2,Andie
1,Andjela
#,Girl  Names 
1,Andorra
2,Andraya
22,Andrea
1,Andréa
1,Andreana
1,Andrew
1,Andreya
1,Anea
1,Aneeka
1,Aneisha
1,Anet
20,Angel
21,Angela
1,Angela-Jo
1,Angel-Dawn
1,Angele
1,Angèle
1,Angelee
1,Angeleena
1,Angelene
1,Angeli
11,Angelica
17,Angelina
3,Angeline
3,Angelique
1,Angélique
1,Angelis
1,Angel-Lee
1,Angle
1,Anh
3,Ania
1,Anica
12,Anika
1,Anikah
1,Anikka
1,Aniko
1,Anikó
2,Anique
1,Anisa
3,Anisha
3,Anissa
1,Anissé
1,Anistyn
10,Anita
1,Anja
1,Anjalee
3,Anjali
1,Ánjel
1,Anjia
1,Anke
5,Anmol
3,Ann
77,Anna
1,Annabel
#,Girl  Names 
3,Annabelle
1,Annaca
1,Annah
1,Anna-James
1,Annaka
1,Anna-Lisa
3,Annalise
1,Annalysa
1,Anna-Maria
2,Anna-Marie
1,Anna-Rose
1,Annastasia
1,Anndrea
6,Anne
3,Anneke
1,Anneliese
2,Annelise
1,Annemarie
1,Anne-Marie
1,Anne-Victoria
1,Anni
14,Annie
2,Annie-May
2,Annik
26,Annika
1,Ann-Marie
1,Anthia
1,Anthonia
1,Antigone
1,Antika
2,Antoinette
1,Antonella
2,Antonia
1,Antonietta
1,Anupreet
8,Anya
1,Anza
2,Aoife
14,April
1,Aqua
1,Aquila-Chrysae
2,Aquinnah
1,Ara
1,Araceli
1,Arashpreet
3,Araya
1,Arayah
1,Araydia
1,Arbish
1,Arby
1,Archita
1,Arden
1,Areanna
1,Areeba
#,Girl  Names 
2,Areej
1,Arezo
1,Arhum
3,Aria
15,Ariana
12,Arianna
1,Arianne
1,Arica-Lynn
2,Arieana
5,Ariel
3,Arielle
1,Arika
1,Arikka
2,Arisa
1,Arisha
1,Arista
1,Arizona
1,Arja
1,Arleen
1,Arleigh
1,Arlene
1,Arlinda
1,Armandeep
1,Armeline
1,Arminne-Pearl
2,Arora
1,Arra
1,Arris
1,Arryanna
1,Arshdeep
1,Arsheen
1,Arshpret
1,Aryaana
2,Aryana
1,Aryelle
1,Aryiss
1,Arylea
1,Aseel
2,Asha
1,Ashanté
1,Ashawnti
1,Ashaya
1,Ashianna
1,Ashiyana
2,Ashlee
1,Ashleen
1,Ashlei
10,Ashleigh
140,Ashley
1,Ashly
14,Ashlyn
3,Ashlynn
1,AshLynn
1,Ashmaanat
#,Girl  Names 
1,Ashreen
1,Asht
1,Ashtan
1,Ashten
8,Ashton
3,Ashtyn
3,Asia
1,Asia-Lily
2,Asmaa
4,Aspen
1,Asra
1,Assmahan
1,Astrid
1,Asya
1,Atalanta
1,Ateya
10,Athena
2,Athina
4,Aubrey
6,Audrey
1,Audrianna
2,August
1,Augustina
1,Aunesti
1,Aunica
1,Aura
1,Auraura
1,Auria
21,Aurora
3,Austen
1,Austin
1,Autum
40,Autumn
25,Ava
1,Avanya
1,Avarey
2,Avary
1,Aven
2,Averie
1,Averil
1,Averly
36,Avery
1,Aviana
1,Avril
1,Avry
1,Avy
1,Awor
1,Axel-Rose
4,Aya
5,Ayah
1,Ayasofia
1,Ayatt
1,Aydra
1,Aydrian
#,Girl  Names 
2,Ayesha
1,Ayisha
6,Ayla
1,Ayleigh
1,Ayman
1,Ayodele
1,Ayrianna
3,Aysia
1,Ayushi
1,Ayzia
1,Azal
1,Azalea
1,Azaria
1,Azhalyn
1,Aziza
1,Azrah
1,Azriel
1,Azuki
1,Azure
1,Babita
1,Bailea
1,Bailee
39,Bailey
2,Bailie
1,Baillie
2,Baily
1,Balwant
1,Banin
1,Bara'a
5,Barbara
1,Barbra
1,Bateena
1,Batool
2,Batoul
1,Batsheva
1,Bayan
5,Baylee
3,Baylie
1,Bea
1,Beata
2,Beatrice
1,Becca
1,Becky
3,Bella
1,Belle
1,Bellé
1,Belma
1,Bergen
1,Berkley
1,Berlynn
1,Berlynne
2,Bernadette
1,Bernice
1,Berri
#,Girl  Names 
1,Berry
4,Bertha
1,Beteleheme
5,Beth
1,Bethanny
26,Bethany
1,Betina
1,Betty
2,Beverly
1,Beylul
1,Beyonce
1,Beyoncé
1,Beyonta
1,Beza
1,Bhavneet
1,Bhavreet
1,Bhawndip
1,Bhreagh
1,Biala
12,Bianca
1,Bilan
3,Billie
1,Binisha
1,Bizou
1,Blair
1,Blanca
1,Blanche
1,Blane
1,Blyth
1,Blythe
1,Bo
2,Bobbi
2,Bobbie
1,Bobbi-Jo
2,Bonita
2,Bonnie
1,Bonnilyn
1,Brae-Leigh
1,Braell
1,Braelyne
1,Brae-Lynn
1,Braelynne
1,Braidi
4,Brandi
1,Brandice
2,Brandy
1,Branka
1,Braxton
2,Braxtyn
1,Brayanna
2,Brayden
1,Braylene
1,Brea
3,Breann
#,Girl  Names 
33,Breanna
16,Breanne
3,Bree
1,Bree-Ann
1,Bree-anne
1,Breena
1,Brekkan
1,Brelanda
1,Brelynn
1,Brelynne
6,Brenda
6,Brenna
3,Brennah
1,Brennel
1,Brennin
1,Brennyn
2,Brett
1,Brettyn
3,Breyanna
1,Breyar
4,Bria
5,Briana
1,Brianagh
2,Briann
66,Brianna
1,Briannah
1,Brianna-Jean
8,Brianne
13,Bridget
4,Bridgette
1,Bridgitte-Ann
1,Brie
1,Brieana
1,Brieanna
9,Brielle
1,Brienna
1,Brienne
2,Brigid
1,Briklyn
1,Brin
2,Brina
1,Brinley
1,Brinly
1,Brinn
13,Britney
1,Britni
1,Brittanny
18,Brittany
2,Brittany-Lynn
1,Brittnee
14,Brittney
1,Britynn
1,Brogan
1,Bronagh
#,Girl  Names 
1,Bronte
4,Bronwyn
6,Brook
83,Brooke
2,Brookelyn
1,Brooke -Lyn
4,Brooke -Lynn
1,Brooklan
1,Brooklen
2,Brooklin
82,Brooklyn
17,Brooklynn
1,BrookLynn
1,Brook-Lynn
3,Brooklynne
1,Brooks
3,Bryana
6,Bryanna
2,Bryanne
1,Bryce
1,Brylee
2,Bryn
1,Bryne
7,Brynn
3,Brynna
3,Brynne
1,Bryony
1,C.E.
1,Cadence
1,Caebrie
3,Caelan
1,Caeleah
1,Caelin
1,Caemlyn
1,Caiden-Lee
1,Caidyn
1,Cailee
6,Cailey
1,Caili
2,Cailie
1,Cailin
2,Cailyn
1,Caislinn
1,Cait
1,Caitin
1,Caitlann
31,Caitlin
1,Caitlinn
27,Caitlyn
1,Caitlynn
1,Caitrin
2,Cala
3,Calais
1,Caleia
#,Girl  Names 
2,Caleigh
6,Cali
1,Calie
1,Caliegh
1,Cali-Jaye
1,Cali-Jean
4,Calista
2,Calla
1,Calley
1,Calli
1,Callida
8,Callie
4,Callista
1,Callum
2,Cally
1,Calynn
2,Calysta
1,Cambria
1,Cambry
9,Cameron
2,Cameryn
5,Camila
9,Camille
1,Camisha
1,Camri
24,Camryn
1,Camryn-Marie
12,Candace
1,Candelle
2,Candice
1,Candra
1,Capri
1,Caprice
17,Cara
1,Carey
1,Cari
4,Carina
6,Carissa
5,Carla
4,Carlee
2,Carleigh
8,Carley
4,Carlie
2,Carlin
1,Carling
11,Carly
1,Carlyn
1,Carlynn
1,Carmel
13,Carmen
1,Carmika
1,Carmyn
3,Carol
1,Caroleen
#,Girl  Names 
1,Carolina
14,Caroline
5,Carolyn
6,Carrie
1,Carrington
1,Carsen
1,Carson
1,Carter
1,Caryn
2,Casandra
1,Casaundra
9,Casey
1,Casey-Lynn
1,Casidy
40,Cassandra
1,Cassey
2,Cassia
1,Cassiana
1,Cassidee
78,Cassidy
1,Cassidy-Jaid
1,Cassidy-Joy
7,Cassie
1,Cassondra
1,Casziel
1,Catalina
1,Catarina
1,Caterina
16,Catherine
1,Cathrine
1,Cathy
1,Catilyn
2,Catrina
1,Catriona
1,Catti-Brie
1,Cayde
2,Cayla
3,Caylee
3,Cayleigh
2,Cayley
1,Caylie
4,Caylin
2,Ceanna
1,Ceara
1,CeCe
1,Ceciley
3,Cecilia
1,Ceder
1,Ceejay
1,Ceileigh
3,Ceili
2,Ceilidh
1,Ceira
4,Celeste
#,Girl  Names 
1,Celia
4,Celina
1,Celine
1,Cellina
1,Cena
1,Cera
1,Cerenity
1,Cerulea
1,Chaise
1,Chalaya
1,Chalissa
1,Chamberlan
1,Chance
1,Chanda
1,Chandan
1,Chandni
1,Chandpreet
2,Chandra
2,Chanel
1,Chanell
6,Chanelle
1,Channah
1,Channtel
1,Chanpreet-Kaur
1,Chanroop
2,Chantae
12,Chantal
1,Chantalle
1,Chanté
12,Chantel
2,Chantell
11,Chantelle
1,Chantel-Rose
1,Char
1,Chardae
4,Charis
1,Charisma
1,Charissa
1,Charisse
1,Charith
7,Charity
1,Charlee
3,Charlene
1,Charli
2,Charlie
4,Charlise
12,Charlize
15,Charlotte
1,Charlyce
1,Charmain
2,Charmaine
1,Charnvir
1,Charrissa
2,Chase
#,Girl  Names 
1,Chasity
3,Chassidy
1,Chaviva
1,Chaya
1,Chayanne
1,Chayla
1,Chaylin
1,Chelan
1,Chelanne
1,Chelli
30,Chelsea
1,Chelsea-Lyne
1,Chelsea-Spring
13,Chelsey
1,Chelsie
1,Cheman
1,Chenille
1,Chenmei
1,Chenoa
1,Cherelyn
1,Cherese
1,Cherie
1,Cherise
3,Cherish
1,Cheryden
6,Cheryl
1,Chevonne
1,Chevralynn
1,Cheyanna
10,Cheyanne
1,Cheyeanne
1,Cheyenna
17,Cheyenne
1,Cheyla
1,Cheyne
1,Cheynne
1,Chezka
1,Chi
1,Chia
1,Chiara
1,Chihae
1,Chih-Eun
1,Chiquita
