Baby Boy Names Registered in 2004,
#,Baby Boy Names
1,A.
1,Aadesh
1,Aadi
1,Aaditya
1,Aaiden
2,Aakash
1,Aapina'Kos
1,Aarav
68,Aaron
2,Aaryan
1,Abbas
1,Abdel
1,Abdon
7,Abdul
2,Abdulaziz
1,AbdulHamid
1,Abdulla
10,Abdullah
1,Abdullahi
1,Abdulmajid
2,Abdulrahman
1,Abdulrehman
1,Abdurahman
1,Abel
1,Abhay
1,Abjeet
5,Abraham
1,Abraheem
4,Abram
1,AbuBakr
1,Aburi
1,Acacia
1,Ace
123,Adam
1,Adamo
5,Addison
1,Adeep
1,Adel
1,Adelmo
1,Adem
16,Aden
1,Adetokunbo
1,Adham
1,Adhukwut
1,Adigun
3,Adil
1,Adin
3,Adison
#,Baby Boy Names
1,Aditya
1,Adityabir
4,Adnan
1,Adomas
1,Adonis
1,Adriaan
25,Adrian
2,Adriel
3,Adrien
1,Adryan
2,Adyn
1,Aedon
1,Aedyn
1,Aeko
1,Affan
1,Affi
1,Agam
1,Agustin
1,Ahaad
3,Ahad
1,Ahan
1,Aharon
6,Ahmad
15,Ahmed
1,AhmedYacin
1,Ahmet
1,Ahraz
131,Aidan
110,Aiden
6,Aidyn
1,Aira
1,Aisa
2,Aiyden
1,AJ
1,Ajack
1,Ajak
1,Ajang
1,Ajay
1,Ajaydeep
1,Ajayvir
1,Ajiang
1,Ajit
1,Akaalroop
2,Akash
1,Akashdeep
1,Akbar
1,Akeel
1,Aken
#,Baby Boy Names
1,Akin
1,Akira
1,Akobo
1,Akoch
2,Akok
1,Akol
1,Aksh
3,Akshat
4,Alan
7,Albert
1,Alberto
1,Albie
1,Albion
1,Alden
1,Aldin
1,Aldon
11,Alec
1,Alecsander
6,Alejandro
1,Aleks
1,Aleksandar
2,Aleksander
1,Alend
2,Alessandro
1,Alessio
37,Alex
190,Alexander
11,Alexandre
1,Alexandro
1,Alexandru
1,Alexavier
3,Alexey
5,Alexi
1,Alexis
1,Alexiss
1,Alexxander
4,Alexzander
1,Alfie
2,Alfredo
33,Ali
1,Alias
1,Alic
1,Alister
10,Allan
2,Allen
1,Allister
1,Alonzo
1,Alphonse
#,Baby Boy Names
1,Alvaro
5,Alvin
1,Alwyne
1,Aly
1,AlyhasanJonathan
1,Alysik
1,Alyzain
1,Alyzen
1,Amaan
1,Amaar
1,Amad
1,Amadeo
3,Aman
3,Amar
1,Amari
1,Ambrose
2,Ameen
3,Ameer
1,Amery
1,Amin
4,Amir
1,Amirali
1,AmirReza
1,Amirreza
1,Amit
1,Amitoj
1,Amman
2,Ammar
3,Ammon
1,Amos
1,Amoz
1,Amr
1,Amrit
2,An
2,Anas
1,Andan
1,Anden
4,Anders
1,Andersen
4,Anderson
4,Andon
3,Andre
3,André
1,Andreas
1,Andrei
1,Andrej
2,Andres
122,Andrew
1,Andrik
#,Baby Boy Names
1,Andril
12,Andy
1,Aneesh
1,Anferny
1,Angad
1,Angel
1,Angelco
4,Angelo
4,Angus
1,Aniket
1,Anissa
1,Anmol
1,Ansh
6,Anson
1,Antal
1,Anthonie
68,Anthony
1,Antoine
5,Anton
6,Antonio
1,Antonios
2,Antony
1,Antwahn
2,Anuj
1,Anurag
1,Anwar
1,Anzhel
1,Aoi
1,Arasdeep
1,Archer
1,Arda
3,Arden
1,Arend
1,Argie
1,Arham
1,Arhum
1,Ari
1,Arian
3,Aric
3,Ariel
1,Aries
1,Arifin
1,Arik
1,Aritik
5,Arjun
1,Ark
1,Arlind
1,Arlis
10,Armaan
#,Baby Boy Names
6,Arman
1,Armando
1,Armann
1,Armén
1,Armughan
3,Arnav
1,Arnes
1,Arnie
2,Arnold
1,Arol
4,Aron
3,Arpit
1,Arran
1,Arrow
1,Arsh
1,Arshandeep
2,Arshdeep
1,Arshjot
1,Arshveer
1,Artemus
7,Arthur
1,Arti
1,Arton
1,Arturious
1,Arunansh
2,Arvin
2,Arya
9,Aryan
1,Aryc
1,Aryian
1,Asfandiyar
1,Ash
2,Ashar
1,Ashaun
1,Asheel
18,Asher
1,Ashleigh
1,Ashten
2,Ashtin
91,Ashton
1,Ashtun
4,Ashtyn
1,Ashwindas
1,Asliraf
1,Astin
1,Atak
2,Athan
1,Atharva
1,Atilla
#,Baby Boy Names
1,Atinder
2,Atley
4,Atticus
1,Attreo
3,Aubrey
1,Augustin
1,Augustine
1,Auron
1,Aurum
1,Auslen
1,Aussim
3,Austen
130,Austin
2,Auston
5,Austyn
1,AustynJames
1,Avden
1,Aveary
21,Avery
1,Avi
1,Avishek
1,Avniel
1,Avrohom
2,Avry
1,Awad
1,Awais
1,Awid
2,Axel
1,Axle
4,Axton
1,Ayaan
1,Ayan
1,Ayandre
3,Aydan
1,Aydden
28,Ayden
1,Aydian
5,Aydin
1,Ayhem
1,Ayize
2,Ayman
1,Ayomikun
1,AyoubHamzi
3,Ayrton
1,Ayub
2,Ayush
1,Azal
1,Azam
1,AzelSebhatu
#,Baby Boy Names
1,Azi
1,Azizullah
1,Azzam
1,B.
1,Baaz
1,Babbandeep
2,Baden
1,Baiden
5,Bailey
1,Bajkaran
1,Balazs
1,Baldeep
1,Baldip
1,Baljot
1,Balraj
2,Baltej
1,Banjo
1,Barak
1,Bardia
1,Baris
4,Barrett
1,Barrick
1,Barrie
2,Barry
1,Barton
1,Bassam
1,Bassim
2,Bastian
1,Bastien
1,Baudouin
1,Baver
1,Bayley
1,Beal
5,Beau
4,Beck
2,Beckett
1,Beckham
1,Behzad
4,Belal
17,Ben
3,Benedict
1,Benevolent
1,Benhard
1,Beniah
171,Benjamin
1,Benjermin
1,Benjiman
1,Benn
2,Bennet
#,Baby Boy Names
17,Bennett
5,Benny
1,Benoit
1,Benoît
4,Benson
1,Berg
2,Bergen
1,Berger
1,Berlen
3,Bernard
1,Bernie
1,Bert
1,Beynon
1,Bhavan
1,Bhavgun
1,Bhavraj
1,Bhol
1,Bibek
1,Bilaal
5,Bilal
1,Bill
1,Billal
2,Billy
1,Binik
1,Birinder
1,Birk
2,Bishop
1,Bjorn
5,Blade
1,Bladen
1,Blain
3,Blaine
8,Blair
2,Blaize
47,Blake
1,Blaz
8,Blaze
1,Blu
1,Bo
2,Bobby
1,Bodee
1,Boden
1,Bodhi
3,Bohdan
1,Bol
1,Bon
1,Boris
1,Boston
1,Both
#,Baby Boy Names
1,Bowden
1,Bowdyn
2,Bowen
1,Boyce
1,Boyd
1,Bracyn
2,Brad
31,Braden
1,Bradford
3,Bradin
1,Bradlee
28,Bradley
3,Bradly
3,Bradon
54,Brady
1,Bradyn
4,Braedan
29,Braeden
9,Braedon
1,Braedy
1,Braedyn
1,Brahmer
9,Braiden
1,Braidon
1,BraidonAlexander
1,Braigh
1,Bram
1,Branch
1,Brandall
4,Brandan
5,Branden
2,Brandin
95,Brandon
1,BrandonKhai
1,BrandonLee
5,Brandt
1,Brandy
3,Brandyn
1,Branislav
1,Bransin
1,Branson
2,Brant
1,Brantin
1,Brasen
1,Brauunson
1,Braxstin
1,Braxtin
27,Braxton
1,Braxtyn
#,Baby Boy Names
1,Braxxton
1,Braycen
4,Braydan
1,Brayde
1,Braydee
83,Brayden
1,Braydin
13,Braydon
1,Braymon
2,Brayson
1,Brayton
1,Breadon
1,Breando
1,Brecon
1,Bredin
1,Breklin
1,Brekon
1,Bremner
1,Bren
1,Brenal
36,Brendan
12,Brenden
7,Brendon
1,Brenen
17,Brennan
9,Brennen
1,Brennon
7,Brent
1,Brenton
3,Bret
2,Breton
44,Brett
25,Brian
1,Briar
2,Brice
1,Briden
1,Brien
1,Brier
1,Brieshen
1,Briggs
1,Brighton
1,Brin
1,Bringent
1,Brinley
1,Britain
18,Brock
1,Brockston
3,Broden
1,Broder
#,Baby Boy Names
1,Broderick
1,Brodey
16,Brodie
1,Brodin
58,Brody
3,Brogan
1,Bron
3,Bronson
1,Brooklen
2,Brooklyn
1,Brooks
5,Bruce
1,Bruin
2,Bruno
1,Brustun
10,Bryan
3,Bryant
1,Bryar
38,Bryce
2,Brycen
1,Brycn
3,Bryden
3,Bryer
2,Bryn
1,Bryndan
1,Brynden
3,Brynn
1,Bryon
1,Brysan
1,Brysen
15,Bryson
1,Bryston
1,Bryzen
1,Buay
1,Buddy
1,Burhan
2,Burke
1,Burton
1,But
1,Byrne
5,Byron
1,Cabe
1,Cache
1,Cadam
1,Cadan
1,Cadance
11,Cade
33,Caden
2,Cadence
#,Baby Boy Names
1,Cadin
5,Caeden
2,Caedon
1,Caedyn
1,Cael
3,Caelan
2,Caelem
1,Caelen
1,Caelin
1,Caesar
3,Cage
1,Caidan
11,Caiden
2,Caige
1,Cailbeb
1,Caileb
1,Caimin
5,Cain
1,Cairen
1,Calan
3,Calder
10,Cale
113,Caleb
1,CalebRoy
3,Calen
2,Caley
1,Calgary
1,Calib
2,Calin
1,Callaghan
1,Callen
19,Callum
2,Calum
1,Calvert
15,Calvin
1,Cam
5,Camden
102,Cameron
4,Camilo
5,Campbell
1,Camrom
2,Camron
1,Canden
1,Cannen
1,Cardel
5,Carl
3,Carlin
2,Carlito
3,Carlos
#,Baby Boy Names
1,Carlton
1,Carmelo
1,CarmeloAntonio
4,Carsen
58,Carson
1,Carston
4,Carsyn
134,Carter
1,Carver
1,Casche
1,Case
11,Casey
5,Cash
2,Cashton
1,Cason
1,Cassen
1,Cassidy
1,Cassious
4,Cassius
1,Cauy
13,Cayden
1,Caydyn
1,Cayl
1,Caylan
1,Cayleb
1,Caylen
1,Caylub
1,Caymen
1,Cayton
1,Cazmin
5,Cedric
1,Ceejay
1,Ceigan
1,Ceirin
1,Cem
1,Cepha
1,Cerek
3,Cesar
1,Chaas
4,Chace
10,Chad
1,Chade
1,Chadrach
1,Chae
1,Chaise
1,Chamlhang
1,Chan
17,Chance
1,Chancellor
#,Baby Boy Names
1,Chandan
3,Chandler
1,Chantz
1,Chapel
1,Charalambos
27,Charles
1,Charley
9,Charlie
1,Charlieshane
1,Charly
72,Chase
1,Chastin
1,Chaston
1,Chay
1,Chayce
2,Chayse
1,Chayson
1,Chayston
2,Chayton
4,Chaz
1,Chazz
1,Che
1,Chem
1,Chester
1,Chevey
1,Chevy
1,Chi
1,Chibundu
1,Chidozie
1,Chinaku
1,Chistopher
1,Chobiar
4,Chris
1,Christain
54,Christian
1,Christiano
1,Christien
1,Christofer
1,Christoffer
1,Christoforos
84,Christopher
1,Chrisuan
1,Chukwudumagaije
1,Chuoluak
1,Chyron
3,Cian
2,Ciaran
1,Cierian
1,Cinch
#,Baby Boy Names
1,Cirdan
3,Clarence
1,ClarenceMatthew
6,Clark
1,Clarke
1,Claudio
12,Clay
1,Clayden
15,Clayton
2,Clifford
1,Coben
1,Cobin
1,Cobitt
2,Coby
1,CobyJay
1,Coden
72,Cody
1,Coehn
6,Coen
1,Cohan
15,Cohen
1,Colbey
2,Colbie
1,Colbran
66,Colby
1,ColbyJames
137,Cole
2,Coleman
1,Coletin
1,Coleton
34,Colin
1,Collby
8,Collin
1,Colm
1,Colson
3,Colt
2,Coltan
7,Colten
1,Colter
48,Colton
2,Coltyn
1,Conaire
1,Conall
1,Conan
1,Conar
2,Conlan
2,Connar
2,Connell
20,Conner
#,Baby Boy Names
1,Connolly
170,Connor
3,Conor
5,Conrad
1,Constantinos
1,Conway
1,Conyr
37,Cooper
2,Corban
2,Corben
1,Corbet
24,Corbin
4,Corbyn
9,Cordell
1,Cordyn
1,Corey
1,Corgan
1,Corland
2,Cormac
3,Cornelius
1,Corny
1,Corson
1,Cort
1,Cortland
1,Cortt
1,Corwin
5,Cory
1,Cosimo
1,Costa
1,Costas
1,Cove
1,Cowan
2,Cowen
1,Coy
6,Craig
2,Crawford
1,Credence
2,Creedance
1,Creeden
1,Creedence
1,Creedin
1,Creedon
2,Creighton
3,Creston
