Baby Girl  Names Registered in 2004,
#,Baby Girl  Names
1,Aafiya
1,Aaira
1,Aalayah
1,Aaliya
29,Aaliyah
1,Aaliza
1,Aamina
1,Aanum
1,Aarshdeep
1,Aasiya
1,Aastha
1,Aava
1,Abagail
1,Abagayl
1,Abang
1,Abbagael
1,Abbagayle
1,Abbegail
12,Abbey
1,AbbeyLynn
4,Abbie
7,Abbigail
1,Abbigaile
7,Abbigale
1,Abbigayle
27,Abby
5,Abbygail
1,Abbygale
1,AbbyRuth
1,Abegale
3,Abigael
125,Abigail
1,Abigale
8,Abigayle
1,Abigial
1,Abinav
1,Abisha
1,Abony
1,Abra
1,Abree
1,Abrial
1,Abrianna
1,Abrie
1,Abriel
2,Abrielle
1,Abygale
1,Acacia
1,Acadia
1,Accalia
1,Achai
#,Baby Girl  Names
3,Achol
2,Ada
1,Adaiah
1,Adalee
1,Adaleigh
1,Adan
1,Adanna
3,Adara
1,Adasa
1,Adawncia
1,AddahMaria
11,Addison
1,Addisson
1,Addyson
1,Adebola
1,Adelaide
1,Adelaine
1,Adelia
1,Adelina
4,Adeline
1,Adelle
2,Adelyn
1,Adelynn
1,Adessah
1,Adia
1,Adian
1,Adina
1,Adison
2,Aditi
1,Adonia
1,Adreanna
3,Adria
3,Adrian
9,Adriana
18,Adrianna
2,Adrianne
1,Adrienna
3,Adrienne
1,Adrina
2,Adut
1,Adyson
1,Aemilie
1,Aeries
1,Aerika
1,Affia
1,Afrah
1,Aftyn
1,Agail
3,Aganetha
5,Agatha
#,Baby Girl  Names
1,Agustina
1,Ahlam
1,Ahlia
1,Ahneke
1,Ahstyn
1,Aia
1,Aicha
3,Aidan
1,Aiden
1,Aidha
1,Aiesha
1,Aife
1,Aija
1,Aileen
1,Ailey
1,Aili
2,Ailish
1,Ailsa
1,Aime
10,Aimee
3,Aimée
1,Aimeelynn
1,Aimi
1,Aine
1,Ainslee
14,Ainsley
1,Ainsliegh
1,Airael
1,Aireana
6,Aisha
1,Aishah
1,AishaSabra
1,Aishpreet
2,Aisling
1,Áisling
1,Aislinn
2,Aislyn
5,Aislynn
1,Aiva
1,Aivree
1,Aixa
1,Aiya
2,Aiyana
2,Aja
1,Ajinder
1,Ajla
1,Ajock
2,Akaisha
1,Akakyva
1,Akara
#,Baby Girl  Names
3,Akasha
1,Akashdeep
1,Akasia
1,Akaycia
1,Akeira
1,Akemjit
1,Akena
1,Akhir
1,Akira
1,Akita
1,Aksha
1,Akutit
1,Alaa
1,AlabamaAda
2,Alaina
13,Alana
2,Alandra
1,Alanis
4,Alanna
3,Alannah
1,Alantis
1,Alara
1,Alarielle
1,Alaura
2,Alaya
4,Alayna
1,Alba
1,Alea
8,Aleah
1,AleahLynn
1,Alecia
1,Alectra
1,Aleda
1,Aleecia
4,Aleena
1,Aleese
2,Aleesha
1,Aleeza
2,Aleisha
1,Alejandra
1,Aleka
1,Aleks
3,Aleksandra
1,Aleksys
1,Alekzandra
2,Alena
1,Aleria
1,Aleron
1,Alesa
2,Alesandra
1,Alesha
#,Baby Girl  Names
3,Aleshia
4,Alessandra
1,Alessia
2,Alethea
1,Aletheia
1,Aletta
1,Aletza
7,Alex
44,Alexa
1,Alexandera
71,Alexandra
3,Alexandrea
17,Alexandria
11,Alexia
1,AlexianeYanika
1,Alexin
85,Alexis
1,Alexsa
1,Alexsanda
1,Alexsys
1,Alexus
1,Alexxa
1,AlexxisDawne
2,Alexys
1,Alexzandrea
1,Alhanna
8,Alia
1,Aliana
1,Alica
12,Alice
1,Alicea
2,Alicen
1,Alicha
30,Alicia
1,Alicin
1,Alida
1,Aliera
1,Alijah
3,Alina
1,AlinaSophie
3,Alisa
1,Alise
20,Alisha
1,Alishba
1,Alisia
13,Alison
6,Alissa
1,Alisse
1,Alissia
2,Alita
6,Alivia
#,Baby Girl  Names
3,Alix
4,Aliya
11,Aliyah
1,Aliyha
4,Aliza
1,Alizabeth
1,Alizé
1,Alla
1,Allaina
1,Allana
1,Allannah
1,Allayna
1,Alleah
1,Allee
1,Allexis
5,Allie
1,Allisa
22,Allison
1,Allissa
1,Allisyn
1,Alliyah
5,Ally
1,Allyah
1,Allyann
1,Allydia
1,Allysa
1,AllyshiaJade
1,Allysia
5,Allyson
3,Allyssa
1,Alma
1,Alorra
1,Alouth
1,Altea
1,Althaea
1,Althea
2,Alual
1,Aluel
1,Aluna
1,Alura
2,Alya
3,Alycia
1,Alynn
1,Alynna
1,Alyona
2,Alysa
1,Alyse
11,Alysha
1,Alyshah
3,Alysia
7,Alyson
#,Baby Girl  Names
92,Alyssa
1,Alyssah
1,Alyssia
1,Alyxandra
1,Alyze
4,Amal
1,Amalea
1,Amaleigh
3,Amalia
1,Amalie
1,Amaly
1,Aman
2,Amanat
41,Amanda
4,Amani
1,Amanjot
1,Amanpreet
3,Amara
5,Amaris
1,Amathnyin
5,Amaya
1,Amazon
1,Ambee
46,Amber
1,Amberly
2,AmberLyn
1,Amee
1,Ameerah
1,Ameilia
1,Ameirra
1,Amel
25,Amelia
6,Amelie
14,Amélie
2,Amellia
1,Amena
1,Amethyst
1,Amica
3,Amie
1,Amiee
1,Amielynn
1,Amima
1,Amin
3,Amina
4,Amira
1,AmiraLaura
1,Amisha
1,Amita
1,Amiya
1,Amiyah
1,Aml
#,Baby Girl  Names
1,AmmaNyarko
1,Amna
1,Amol
1,Amreen
1,Amrit
57,Amy
5,Ana
2,Anabelle
1,Anada
1,Anah
1,Anaia
1,Anaiah
1,Anais
1,Anaïs
1,Anaka
1,Analeigh
1,Anam
5,Anastacia
16,Anastasia
1,Anastasiya
1,Anastazia
2,Anaya
1,Anayat
1,Andee
1,Andelyn
1,Andi
6,Andie
1,Andisha
25,Andrea
1,Andreea
1,Andryka
1,Aneesa
1,Aneisha
1,Anemone
2,Anessa
19,Angel
21,Angela
6,Angelica
1,Angelika
26,Angelina
4,Angeline
2,Angelique
1,Angelle
1,AngelLee
1,Angelyna
1,Angenia
1,Anick
1,Aniela
1,Anielka
1,Aniesha
21,Anika
#,Baby Girl  Names
1,Aniko
1,Anina
1,Aniqa
1,Anis
2,Anisa
1,Anise
2,Anisha
1,Anissa
2,Aniya
3,Anja
4,Anjali
1,Anjolie
1,Anjou
1,Anjulia
1,Anke
4,Anmol
1,Ann
94,Anna
2,Annabel
1,Annabell
1,Annabella
8,Annabelle
1,Annabellé
1,Annaca
1,AnnaGrace
1,Annaka
1,AnnaLeah
2,Annalee
1,Annaleen
1,AnnaLeigh
2,Annaliese
5,Annalise
1,AnnaMay
1,Annata'
4,Anne
1,Anneka
1,Anneke
1,Anneli
2,Anneliese
2,Annelise
3,AnneMarie
1,Annemona
2,Annette
1,Annick
10,Annie
32,Annika
1,Annikah
1,AnnMarie
1,Anny
1,AnnyElisabeth
1,Anok
#,Baby Girl  Names
1,Anooshay
1,Anoshey
1,Anphisa
1,Antoinette
1,Antonia
1,Anum
2,Anureet
1,Anusha
1,Anuthida
1,Anvitha
1,Anwen
1,Anwyn
9,Anya
1,Anyarage
1,Anyarose
1,Anyisa
1,Aoife
13,April
1,Apryl
1,Ara
4,Arabella
1,Aradyn
1,Aravis
3,Araya
1,Archita
1,Arden
1,Ardeya
1,Areanna
1,Areen
1,Arfa
5,Aria
1,Ariadne
1,Ariah
9,Ariana
3,Ariane
15,Arianna
2,Arianne
1,Arianwen
1,Arica
7,Ariel
2,Ariella
1,Ariellah
3,Arielle
1,Aries
2,Arika
1,Arilynn
1,Arissa
1,Arissona
1,Arista
1,Ariya
1,Arizona
#,Baby Girl  Names
1,ArizonaLei
1,Arlee
1,Arleen
1,Arley
1,Armita
1,Aroop
1,Arora
1,Aroush
2,Arpan
1,Arpanpreet
1,Arrowynd
1,Arrozo
1,Arsh
1,Arshdeep
1,Arshita
1,Arshjot
1,Arshveer
1,Arveen
3,Arwen
1,Arwyn
1,Aryanna
1,Aryauna
2,Aryka
1,Aryn
1,Arys
1,Aryssa
1,Arzoo
1,Asees
1,Aselin
6,Asha
1,Ashalina
1,Ashaly
4,Ashanti
1,Ashayla
1,Asheley
1,Ashely
1,Ashgan
2,Ashia
1,Ashika
1,AshiyaAslam
2,Ashiyana
1,Ashlea
1,Ashleah
9,Ashlee
1,Ashleen
7,Ashleigh
2,Ashlen
90,Ashley
1,AshleyAnne
1,AshleyLynn
1,Ashlin
#,Baby Girl  Names
27,Ashlyn
10,Ashlynn
1,AshlynnRose
1,Ashna
2,Ashton
4,Ashtyn
1,Ashwin
1,Ashwini
11,Asia
1,Asiah
1,Asiya
1,Asjha
2,Asma
8,Aspen
1,Aspyn
1,AstaraMai
1,Astha
1,Astrid
1,Atasha
1,Ater
1,Atet
1,Athaliah
12,Athena
2,Atiya
1,Atleigh
1,Atley
1,Atlin
1,Atoria
1,Aubree
4,Aubrey
1,Aubrie
1,Audra
1,Audraya
14,Audrey
1,August
1,Augustine
1,Aundrea
1,Aunika
1,Aunima
1,Aurelia
1,Auriélle
19,Aurora
5,Austyn
1,Autum
42,Autumn
1,Autymn
128,Ava
1,Avaani
1,Avalee
4,Avalon
2,AvaLynn
#,Baby Girl  Names
1,AvaMaria
1,AvaMarie
1,AvaRose
1,Avary
1,Ave
1,Averi
1,Averie
1,AverieRayne
1,Averill
76,Avery
1,AveryRayne
1,Aviah
1,Aviendha
1,Avincia
1,Avital
1,Aviya
3,Avleen
2,Avneet
1,Avonne
1,Avorie
1,Avory
1,Avra
1,Avreen
1,Avrey
1,Avrie
1,Avril
1,Avroop
1,Avry
1,Avy
1,Awien
1,Awut
2,Aya
1,Ayaa
5,Ayah
1,Ayat
1,Aydan
1,Aydann
4,Ayden
1,Aydin
1,Ayeisha
1,Ayelén
1,Ayema
2,Ayesha
3,Ayisha
13,Ayla
1,AylaElise
1,AylaMarie
1,Aylee
1,Ayngel
1,Aynsley
1,Ayom
#,Baby Girl  Names
1,Ayra
1,Ayralee
1,Ayrenne
1,Aysha
1,Ayshani
1,Aysia
2,Ayva
1,Azandra
1,Azaria
1,Azariah
1,Azarie
1,Azkenik
1,Azra
1,Azriella
1,Azucena
1,Bacheira
1,Badriyah
1,Bailee
1,Baileigh
27,Bailey
1,BaileyAnne
1,BaileyRae
1,Baljot
1,Balpreet
1,Baneen
2,Barbara
1,Barbie
1,Barleen
1,Bavneet
1,Baya
1,BayeLee
1,Bayla
3,Baylee
1,Bayley
1,Bayli
2,Baylie
2,Bea
3,Beatrice
1,Beau
1,Bebula
1,Beigha
2,Belen
1,Believe
1,Belinda
6,Bella
2,Belle
1,Benita
1,Bennett
1,Berkeley
1,Berklee
3,Berlin
#,Baby Girl  Names
2,Berlyn
1,Berlynn
1,Bernadette
1,Betaniya
1,Beth
16,Bethany
1,Bethlyn
1,Bettina
4,Betty
1,Beyoncé
1,Bhavna
1,Bhavneet
1,Bhumika
16,Bianca
1,Bianka
1,Bibianna
1,Bigoa
3,Billie
1,BillieLynn
1,Binazra
1,Bithania
1,Blair
2,Blaire
1,Blaise
1,Blaize
1,Blare
2,Blaze
1,Bliss
1,Blossom
1,Blue
1,Blyss
1,Blythe
2,Bo
2,Bobbi
1,BobbiAnn
1,Bobbie
1,BobbiJo
1,BobbiLea
1,Bojana
2,Bonita
1,Bonnie
1,Bonny
1,Boo
1,Boshra
1,Bradie
1,Brady
3,Braelyn
2,Braelynn
1,Braidi
2,Braidy
1,Brailee
#,Baby Girl  Names
4,Brandi
1,BrandiRae
4,Brandy
1,BrandyLynn
1,Braya
1,Brayda
1,Braydeen
1,Braydyn
1,Brea
1,Breaelle
1,Breah
1,Breana
33,Breanna
1,Breanna
1,Breannah
8,Breanne
1,Breasha
1,Breatrice
1,Breauna
1,Brecken
5,Bree
1,Breea
1,Breeah
1,Breeanna
1,BreeAnne
1,Breelyn
1,BreeSage
1,Breeze
1,Breize
1,Brenah
2,Brenda
1,Brenley
12,Brenna
1,Brennan
1,Breton
1,Brett
1,Bretta
1,Breya
1,Breyze
2,Bria
6,Briana
57,Brianna
7,Brianne
9,Bridget
1,Bridgett
3,Bridgette
1,Brie
1,Brieanna
1,Briella
7,Brielle
9,Brienne
#,Baby Girl  Names
1,Brier
1,Brigitte
1,Briley
1,Brilhantina
1,Brinaina
1,Brinley
1,Brinn
1,Brio
2,Britany
2,Britlyn
1,Britlynn
5,Britney
1,Britni
1,Britny
2,Britt
1,Brittan
2,Brittany
1,Brittinna
1,Brittnee
2,Brittney
1,BrittneyAnn
1,Brittny
2,Britton
1,Brityn
2,Brodie
1,Bronte
1,Brontë
1,Bronwen
10,Bronwyn
1,BroodieJo
7,Brook
106,Brooke
1,Brookelyn
1,BrookelynAva
6,BrookeLynn
3,Brookelynn
1,BrookeLynne
1,Brooklin
104,Brooklyn
1,BrookLyn
1,BrookLyn
1,Brooklyne
24,Brooklynn
3,BrookLynn
2,BrookLynn
1,Brooklynn
1,Brooklynne
1,Broughan
1,BryaLee
3,Bryanna
3,Bryanne
#,Baby Girl  Names
1,Bryce
1,Bryden
1,Brylee
1,Brylie
1,Brylin
11,Bryn
1,Bryndal
4,Brynlee
1,Brynley
18,Brynn
1,BrynnaJo
3,Brynne
1,Brynnleigh
2,Buk
1,Bukhtawer
1,Burgundy
1,CaCi
